Host,EmptyDomicile,Occupancy,Pupae.1,Pupae.8,Success
Aitken1,1,0,0,0,0
Aitken2,1,0,0,0,0
Baker1,1,0,0,0,0
Baker2,1,1,0,0,1
BaRypien1,1,0,0,0,0
BaRypien2,1,1,0,0,1
Bedome1,1,1,1,0,2
Bedome2,1,1,1,1,4
Bergen1,1,0,0,0,0
Bergen2,1,1,1,1,4
BUlmer1,1,0,0,0,0
BUlmer2,1,0,0,0,0
Blum1,1,0,0,0,0
Blum2,1,0,0,0,0
BoRypien1,1,0,0,0,0
BoRypien2,1,0,0,0,0
Boucher1,1,0,0,0,0
Boucher2,1,0,0,0,0
Breganzzi1,1,0,0,0,0
Breganzzi2,1,1,1,1,3
Brickburn1,1,0,0,0,0
Brickburn2,1,0,0,0,0
Buckland1,1,1,1,1,5
Buckland2,1,0,0,0,0
Buzath1,1,0,0,0,0
Buzath2,1,0,0,0,0
Graham1,1,0,0,0,0
Graham2,1,0,0,0,0
Clapp1,1,0,0,0,0
Clapp2,1,0,0,0,0
Cooper1,1,1,0,0,1
Cooper2,1,1,1,0,2
Dale1,1,0,0,0,0
Dale2,1,0,0,0,0
Davidson1,1,0,0,0,0
Davidson2,1,0,0,0,0
Dold1,1,1,0,0,1
Dold2,1,1,0,0,1
Dyer1,1,0,0,0,0
Dyer2,1,1,1,1,3
Dylong1,1,0,0,0,0
Dylong2,1,0,0,0,0
Elbel1,1,1,1,1,3
Elbel2,1,0,0,0,0
Engelen1,1,0,0,0,0
Engelen2,1,0,0,0,0
Evans1,1,0,0,0,0
Evans2,1,0,0,0,0
Fisher1,1,0,0,0,0
Fisher2,1,0,0,0,0
Fjstad 1,1,1,1,1,3
Fjstad 2,1,0,0,0,0
Fletcher 1,1,1,1,1,5
Fletcher 2,1,1,1,1,4
Francois1,1,0,0,0,0
Francois2,1,1,1,1,4
Gobeil1,1,0,0,0,0
Gobeil2,1,0,0,0,0
Goldie1,1,0,0,0,0
Goldie2,1,0,0,0,0
Grace1,1,0,0,0,0
Grace2,1,0,0,0,0
Grant1,1,0,0,0,0
Grant2,1,0,0,0,0
Grisaru1,1,0,0,0,0
Grisaru2,1,0,0,0,0
Groeneveld1,1,0,0,0,0
Groeneveld2,1,0,0,0,0
Hagstrom1,1,0,0,0,0
Hagstrom2,1,0,0,0,0
Hanson1,1,0,0,0,0
Hanson2,1,0,0,0,0
Holowatuk1,1,0,0,0,0
Holowatuk2,1,1,1,1,4
Hosty1,1,0,0,0,0
Hosty2,1,0,0,0,0
Hustak1,1,0,0,0,0
Hustak2,1,0,0,0,0
Kristine1,1,0,0,0,0
Kristine2,1,1,1,1,4
Reed1,1,0,0,0,0
Reed2,1,0,0,0,0
Litchfield1,1,0,0,0,0
Litchfield2,1,1,1,1,4
MacKinnon1,1,1,0,0,1
MacKinnon2,1,1,1,1,3
Martin1,1,1,1,0,2
Martin2,1,1,1,1,4
Mavin1,1,0,0,0,0
Mavin2,1,0,0,0,0
McIntyre1,1,1,1,1,3
McIntyre2,1,1,1,1,4
Metcalfe1,1,0,0,0,0
Metcalfe2,1,1,1,0,2
Micucci1,1,0,0,0,0
Micucci2,1,0,0,0,0
Montgomery1,1,0,0,0,0
Montgomery2,1,1,1,1,4
Mullin1,1,0,0,0,0
Mullin2,1,0,0,0,0
Parzen1,1,1,1,1,3
Parzen2,1,1,1,1,3
Paskevich1,1,0,0,0,0
Paskevich2,1,0,0,0,0
Patipatanakoon1,1,0,0,0,0
Patipatanakoon12,1,1,0,0,1
Peatch1,1,0,0,0,0
Peatch2,1,1,0,0,1
Piniak1,1,1,1,1,5
Piniak2,1,0,0,0,0
Puerzer1,1,0,0,0,0
Puerzer2,1,0,0,0,0
Ramsing1,1,0,0,0,0
Ramsing2,1,0,0,0,0
Rayment1,1,0,0,0,0
Rayment2,1,0,0,0,0
Scase1,1,1,1,1,3
Scase2,1,1,1,1,4
Mullin-inLaw1,1,0,0,0,0
Mullin-inLaw2,1,0,0,0,0
Smit1,1,0,0,0,0
Smit2,1,0,0,0,0
Soehner1,1,0,0,0,0
Soehner2,1,1,1,1,5
Stainsby1,1,0,0,0,0
Stainsby2,1,0,0,0,0
Suter1,1,0,0,0,0
Suter2,1,1,0,0,1
Sutherland1,1,0,0,0,0
Sutherland2,1,0,0,0,0
Tetzlaff1,1,0,0,0,0
Tetzlaff2,1,0,0,0,0
Uribe1,1,0,0,0,0
Uribe2,1,1,0,0,1
VanDenBoogaard1,1,0,0,0,0
VanDenBoogaard2,1,0,0,0,0
Walker1,1,0,0,0,0
Walker2,1,0,0,0,0
White1,1,0,0,0,0
White2,1,1,1,1,4
Wright1,1,0,0,0,0
Wright2,1,0,0,0,0
Yanover1,1,0,0,0,0
Yanover2,1,1,1,1,4
